Month,AnswererId,TotalScore,AnswerCount,MonthlyRank
"2026-08","36151","5","1","1"
"2026-08","53013","2","1","2"
"2026-08","58067","2","1","2"
"2026-08","263495","2","5","2"
"2026-08","34242","1","1","5"
"2026-08","263503","0","1","6"
"2026-08","263137","0","2","6"
"2026-08","54185","0","1","6"
"2026-08","2933","0","1","6"
"2026-07","58067","50","5","1"
"2026-07","93421","27","5","2"
"2026-07","34242","20","6","3"
"2026-07","17143","13","2","4"
"2026-07","20413","8","1","5"
"2026-07","4257","7","1","6"
"2026-07","121370","6","1","7"
"2026-07","28879","4","1","8"
"2026-07","50040","3","1","9"
"2026-07","262737","3","1","9"
"2026-07","262330","1","1","11"
"2026-07","90243","1","1","11"
"2026-07","63671","1","2","11"
"2026-07","69823","1","1","11"
"2026-07","87222","1","1","11"
"2026-07","89259","0","1","16"
"2026-07","262186","0","1","16"
"2026-07","67","0","1","16"
"2026-07","262795","0","1","16"
"2026-07","262855","0","1","16"
"2026-07","262897","-2","1","21"
"2026-07","261535","-2","1","21"
"2026-06","34242","47","3","1"
"2026-06","4638","23","3","2"
"2026-06","58067","23","3","2"
"2026-06","63671","20","3","4"
"2026-06","42398","13","2","5"
"2026-06","17143","9","2","6"
"2026-06","69823","8","1","7"
"2026-06","20413","6","1","8"
"2026-06","54199","5","2","9"
"2026-06","259866","3","1","10"
"2026-06","260132","2","1","11"
"2026-06","98043","2","1","11"
"2026-06","71885","1","1","13"
"2026-06","260253","1","1","13"
"2026-06","260579","1","3","13"
"2026-06","67","1","1","13"
"2026-06","53013","1","1","13"
"2026-06","68224","0","1","18"
"2026-06","213479","0","1","18"
"2026-06","260850","0","1","18"
"2026-06","260895","-1","1","21"
"2026-06","260799","-1","1","21"
"2026-05","34242","34","4","1"
"2026-05","58067","21","2","2"
"2026-05","63671","15","1","3"
"2026-05","19707","10","1","4"
"2026-05","259756","9","3","5"
"2026-05","17143","6","3","6"
"2026-05","71885","5","1","7"
"2026-05","259866","3","2","8"
"2026-05","259887","2","1","9"
"2026-05","259660","2","1","9"
"2026-05","98043","2","1","9"
"2026-05","258231","1","1","12"
"2026-05","258351","1","1","12"
"2026-05","258246","1","1","12"
"2026-05","81730","1","1","12"
"2026-05","93421","1","1","12"
"2026-05","67481","0","1","17"
"2026-05","641","0","1","17"
"2026-05","259168","0","1","17"
"2026-05","259537","0","1","17"
"2026-05","258383","0","1","17"
"2026-05","258413","0","1","17"
"2026-05","258233","0","1","17"
"2026-05","258199","0","1","17"
"2026-05","51949","-1","1","25"
"2026-05","258872","-2","1","26"
"2026-05","259021","-4","2","27"
"2026-05","258315","-4","1","27"
"2026-04","17143","10","2","1"
"2026-04","4638","5","1","2"
"2026-04","63671","5","1","2"
"2026-04","19707","4","1","4"
"2026-04","58067","4","1","4"
"2026-04","81818","2","1","6"
"2026-04","257309","2","1","6"
"2026-04","257730","1","1","8"
"2026-04","257819","1","1","8"
"2026-04","255791","1","1","8"
"2026-04","256654","1","1","8"
"2026-04","93421","1","1","8"
"2026-04","256028","1","1","8"
"2026-04","28879","1","1","8"
"2026-04","34242","1","1","8"
"2026-04","67","1","1","8"
"2026-04","64319","0","1","17"
"2026-04","256143","0","1","17"
"2026-04","256200","0","1","17"
"2026-04","256464","0","1","17"
"2026-04","255768","0","1","17"
"2026-04","255959","0","1","17"
"2026-04","255995","0","1","17"
"2026-04","257859","0","1","17"
"2026-04","257486","-1","1","25"
"2026-04","149392","-1","1","25"
"2026-04","257245","-2","1","27"
"2026-04","256503","-10","5","28"
"2026-03","20183","19","2","1"
"2026-03","63671","15","1","2"
"2026-03","19707","13","3","3"
"2026-03","17143","10","1","4"
"2026-03","36356","9","1","5"
"2026-03","58067","6","2","6"
"2026-03","253591","5","1","7"
"2026-03","225645","4","1","8"
"2026-03","69823","3","1","9"
"2026-03","10703","3","1","9"
"2026-03","34242","2","1","11"
"2026-03","252850","2","1","11"
"2026-03","252529","2","1","11"
"2026-03","254115","2","1","11"
"2026-03","253335","1","1","15"
"2026-03","253362","1","2","15"
"2026-03","254457","0","1","17"
"2026-03","254767","0","1","17"
"2026-03","254977","0","1","17"
"2026-03","255216","0","1","17"
"2026-03","255263","0","1","17"
"2026-03","252647","0","1","17"
"2026-03","252759","0","1","17"
"2026-03","252976","0","1","17"
"2026-03","253016","0","1","17"
"2026-03","34383","0","1","17"
"2026-03","5505","0","1","17"
"2026-03","254348","-1","2","28"
"2026-02","34242","39","4","1"
"2026-02","58027","29","1","2"
"2026-02","67","26","4","3"
"2026-02","17143","23","2","4"
"2026-02","20413","19","2","5"
"2026-02","19707","13","1","6"
"2026-02","249886","13","1","6"
"2026-02","249223","12","5","8"
"2026-02","251354","12","1","8"
"2026-02","69823","10","1","10"
"2026-02","58067","9","2","11"
"2026-02","104148","8","1","12"
"2026-02","85398","6","1","13"
"2026-02","251060","4","2","14"
"2026-02","51949","3","1","15"
"2026-02","252407","2","1","16"
"2026-02","10860","2","1","16"
"2026-02","250918","1","1","18"
"2026-02","251515","1","1","18"
"2026-02","63671","1","2","18"
"2026-02","29744","1","1","18"
"2026-02","249641","1","1","18"
"2026-02","250433","1","1","18"
"2026-02","250484","0","1","24"
"2026-02","250893","0","1","24"
"2026-02","249976","0","1","24"
"2026-02","250403","0","1","24"
"2026-02","249657","0","1","24"
"2026-02","251524","0","1","24"
"2026-02","252108","-1","1","30"
"2026-02","98901","-3","1","31"
"2026-01","69823","31","2","1"
"2026-01","19707","22","1","2"
"2026-01","58067","21","2","3"
"2026-01","80388","15","1","4"
"2026-01","89259","14","1","5"
"2026-01","81730","10","2","6"
"2026-01","4257","9","1","7"
"2026-01","34242","7","3","8"
"2026-01","129274","5","1","9"
"2026-01","244864","3","1","10"
"2026-01","248382","3","1","10"
"2026-01","71101","3","1","10"
"2026-01","53708","2","1","13"
"2026-01","67","2","1","13"
"2026-01","244727","2","1","13"
"2026-01","98043","1","1","16"
"2026-01","102154","1","1","16"
"2026-01","245590","1","1","16"
"2026-01","246886","1","1","16"
"2026-01","247577","1","1","16"
"2026-01","91573","1","1","16"
"2026-01","20931","0","1","22"
"2026-01","247618","0","1","22"
"2026-01","248902","0","2","22"
"2026-01","246621","0","1","22"
"2026-01","245444","-1","1","26"
"2026-01","247372","-1","1","26"
"2026-01","97383","-5","2","28"
"2025-12","28879","42","2","1"
"2025-12","69823","35","5","2"
"2025-12","34242","31","5","3"
"2025-12","58067","30","4","4"
"2025-12","20413","25","3","5"
"2025-12","17143","21","3","6"
"2025-12","79316","17","1","7"
"2025-12","65126","15","1","8"
"2025-12","67","14","4","9"
"2025-12","19707","11","3","10"
"2025-12","63671","9","1","11"
"2025-12","52851","9","1","11"
"2025-12","103697","6","2","13"
"2025-12","54051","5","1","14"
"2025-12","89259","4","1","15"
"2025-12","238245","4","1","15"
"2025-12","239543","3","1","17"
"2025-12","79858","3","1","17"
"2025-12","244202","3","1","17"
"2025-12","243225","2","2","20"
"2025-12","85398","2","1","20"
"2025-12","105208","2","1","20"
"2025-12","106981","1","1","23"
"2025-12","234194","1","1","23"
"2025-12","239252","1","1","23"
"2025-12","241029","1","1","23"
"2025-12","241572","1","1","23"
"2025-12","50876","1","1","23"
"2025-12","14908","1","1","23"
"2025-12","2925","0","1","30"
"2025-12","6638","0","2","30"
"2025-12","69566","0","1","30"
"2025-12","241764","0","1","30"
"2025-12","242568","0","1","30"
"2025-12","239617","0","1","30"
"2025-12","239660","0","2","30"
"2025-12","240745","0","1","30"
"2025-12","239460","0","1","30"
"2025-12","238355","0","1","30"
"2025-12","238205","0","1","30"
"2025-12","95101","-3","1","41"
"2025-11","28879","43","2","1"
"2025-11","58067","29","4","2"
"2025-11","20413","25","2","3"
"2025-11","69823","16","7","4"
"2025-11","234854","15","1","5"
"2025-11","34242","12","1","6"
"2025-11","17143","10","6","7"
"2025-11","83173","6","1","8"
"2025-11","102154","6","1","8"
"2025-11","20183","6","1","8"
"2025-11","63671","4","2","11"
"2025-11","232232","4","1","11"
"2025-11","19707","4","2","11"
"2025-11","80388","3","1","14"
"2025-11","128047","3","1","14"
"2025-11","232461","2","1","16"
"2025-11","233086","2","1","16"
"2025-11","237129","2","1","16"
"2025-11","237366","2","1","16"
"2025-11","237582","2","1","16"
"2025-11","237605","2","1","16"
"2025-11","237772","1","1","22"
"2025-11","236820","1","1","22"
"2025-11","237262","1","1","22"
"2025-11","234194","1","1","22"
"2025-11","67481","1","2","22"
"2025-11","68458","1","1","22"
"2025-11","2569","1","1","22"
"2025-11","27224","1","1","22"
"2025-11","42398","1","1","22"
"2025-11","63169","1","1","22"
"2025-11","105208","0","2","32"
"2025-11","234332","0","1","32"
"2025-11","234528","0","1","32"
"2025-11","234023","0","1","32"
"2025-11","235423","0","1","32"
"2025-11","235430","0","1","32"
"2025-11","236141","0","1","32"
"2025-11","234905","-1","1","39"
"2025-11","235163","-1","1","39"
"2025-11","232332","-1","1","39"
"2025-11","18910","-1","2","39"
"2025-11","234867","-2","1","43"
"2025-11","234806","-9","1","44"
"2025-10","69823","48","5","1"
"2025-10","34242","40","7","2"
"2025-10","20413","29","3","3"
"2025-10","17143","20","5","4"
"2025-10","19707","20","2","4"
"2025-10","48468","17","2","6"
"2025-10","53013","17","3","6"
"2025-10","63169","17","1","6"
"2025-10","4638","15","4","9"
"2025-10","58067","10","2","10"
"2025-10","80388","9","2","11"
"2025-10","103560","9","1","11"
"2025-10","42487","8","1","13"
"2025-10","60896","7","1","14"
"2025-10","28879","7","1","14"
"2025-10","228891","7","1","14"
"2025-10","220270","6","1","17"
"2025-10","101479","5","2","18"
"2025-10","1790","5","2","18"
"2025-10","89259","4","1","20"
"2025-10","37796","4","1","20"
"2025-10","40923","4","1","20"
"2025-10","14210","4","1","20"
"2025-10","229306","4","1","20"
"2025-10","102807","3","1","25"
"2025-10","26311","3","1","25"
"2025-10","29322","3","1","25"
"2025-10","93686","3","1","25"
"2025-10","81322","2","1","29"
"2025-10","52000","2","1","29"
"2025-10","65978","2","1","29"
"2025-10","42066","2","1","29"
"2025-10","228195","2","1","29"
"2025-10","226233","2","1","29"
"2025-10","232217","2","1","29"
"2025-10","102154","1","1","36"
"2025-10","226902","1","1","36"
"2025-10","227026","1","1","36"
"2025-10","42398","1","1","36"
"2025-10","1214","1","1","36"
"2025-10","72758","1","1","36"
"2025-10","74230","0","1","42"
"2025-10","96845","0","2","42"
"2025-10","98590","0","1","42"
"2025-10","52931","0","1","42"
"2025-10","34315","0","1","42"
"2025-10","227880","0","1","42"
"2025-10","226973","0","2","42"
"2025-10","227000","0","1","42"
"2025-10","228106","0","1","42"
"2025-10","143255","0","1","42"
"2025-10","229326","0","1","42"
"2025-10","231793","-1","1","53"
"2025-10","229135","-1","1","53"
"2025-10","226300","-1","1","53"
"2025-10","227933","-1","1","53"
"2025-10","228169","-2","1","57"
"2025-10","232246","-2","1","57"
"2025-10","229177","-3","1","59"
"2025-10","226650","-3","1","59"
"2025-09","58067","77","7","1"
"2025-09","17143","57","4","2"
"2025-09","28879","57","3","2"
"2025-09","34242","23","2","4"
"2025-09","19707","23","3","4"
"2025-09","69823","20","4","6"
"2025-09","20413","17","1","7"
"2025-09","4638","16","2","8"
"2025-09","53980","14","1","9"
"2025-09","42500","11","1","10"
"2025-09","22246","10","1","11"
"2025-09","95359","9","1","12"
"2025-09","220903","8","1","13"
"2025-09","101479","6","1","14"
"2025-09","53013","6","1","14"
"2025-09","89259","6","1","14"
"2025-09","224930","6","1","14"
"2025-09","67","6","2","14"
"2025-09","220944","4","2","19"
"2025-09","81322","3","1","20"
"2025-09","83621","3","1","20"
"2025-09","223262","3","1","20"
"2025-09","223724","3","1","20"
"2025-09","63671","3","1","20"
"2025-09","54051","3","1","20"
"2025-09","43541","2","1","26"
"2025-09","221963","2","1","26"
"2025-09","77409","2","1","26"
"2025-09","221360","2","1","26"
"2025-09","100239","2","1","26"
"2025-09","219416","1","1","31"
"2025-09","102154","1","1","31"
"2025-09","221557","1","1","31"
"2025-09","98590","1","1","31"
"2025-09","222746","1","1","31"
"2025-09","222280","1","1","31"
"2025-09","222300","1","1","31"
