Tag,TotalQuestions,AnsweredQuestions,PctAnswered,AvgViews
"breakfast","42","11","26.190476190476193","13085.285714285714"
"catering","33","9","27.27272727272727","13821.515151515152"
"mustard","45","13","28.888888888888886","6570.555555555556"
"chips","50","15","30","7771.06"
"crockpot","97","30","30.927835051546392","33683.59793814433"
"burnt","57","18","31.57894736842105","6596.122807017544"
"fudge","56","18","32.142857142857146","9507.089285714286"
"casserole","37","12","32.432432432432435","12153.243243243243"
"smell","105","35","33.33333333333333","13658.019047619047"
"pickles","47","16","34.04255319148936","2058.723404255319"
"melting","38","13","34.21052631578947","15592.236842105263"
"ratio","46","16","34.78260869565217","22838.304347826088"
"gelling-agents","43","15","34.883720930232556","9664.093023255815"
"ham","80","28","35","16460.125"
"mozzarella","31","11","35.483870967741936","8267.612903225807"
"canning","318","114","35.84905660377358","5416.547169811321"
"drying","78","28","35.8974358974359","5124.653846153846"
"convection","58","21","36.206896551724135","29060.689655172413"
"candy","243","89","36.62551440329218","8113.814814814815"
"glaze","30","11","36.666666666666664","6737.533333333334"
"allergy","73","27","36.986301369863014","15811.246575342466"
"sugar-free","35","13","37.142857142857146","2801.714285714286"
"safety","78","29","37.17948717948718","2630.7051282051284"
"macarons","43","16","37.2093023255814","9872.279069767443"
"mold","142","53","37.32394366197183","15311.81690140845"
"stand-mixer","48","18","37.5","12506.9375"
"sponge-cake","53","20","37.735849056603776","7426.792452830188"
"restaurant","45","17","37.77777777777778","6643.666666666667"
"frozen","155","59","38.064516129032256","11139.406451612904"
"rising","97","37","38.144329896907216","12567.690721649484"
"soymilk","47","18","38.297872340425535","6123.425531914893"
"induction","90","35","38.88888888888889","13040.611111111111"
"frosting","59","23","38.983050847457626","10992.152542372882"
"breadcrumbs","41","16","39.02439024390244","6389.024390243902"
"caramel","92","36","39.130434782608695","7457.717391304348"
"carbon-steel","56","22","39.285714285714285","6638.910714285715"
"botulism","61","24","39.34426229508197","8023.3442622950815"
"texture","193","76","39.37823834196891","10072.974093264249"
"sourdough-starter","121","48","39.66942148760331","4335.297520661157"
"turkey","175","70","40","17980.14285714286"
"butchering","30","12","40","11303.2"
"cupcakes","55","22","40","19673.6"
"curing","60","24","40","7322.35"
"extracts","50","20","40","8808.14"
"maillard","30","12","40","5759.166666666667"
"brownies","87","35","40.229885057471265","16576.758620689656"
"cake","702","283","40.313390313390315","10855.531339031339"
"bulk-cooking","42","17","40.476190476190474","15479.119047619048"
"waffle","42","17","40.476190476190474","3951.785714285714"
"yolk","32","13","40.625","13061.0625"
"pectin","32","13","40.625","5383.8125"
"cookies","425","173","40.705882352941174","13212.950588235293"
"cheesecake","108","44","40.74074074074074","12834.055555555555"
"stainless-steel","103","42","40.77669902912621","12246.660194174758"
"low-carb","49","20","40.816326530612244","7435.551020408163"
"jelly","49","20","40.816326530612244","4272.081632653061"
"raw","93","38","40.86021505376344","9794.20430107527"
"gravy","44","18","40.909090909090914","11834.681818181818"
"sourdough","297","122","41.07744107744108","8170.131313131313"
"starch","51","21","41.17647058823529","5904.823529411765"
"additives","41","17","41.46341463414634","10723"
"chicken-stock","65","27","41.53846153846154","11737.123076923077"
"meringue","89","37","41.57303370786517","12577.438202247191"
"roast","93","39","41.935483870967744","19303.247311827956"
"lentils","69","29","42.028985507246375","10183.782608695652"
"broth","142","60","42.25352112676056","11448.859154929578"
"starter","66","28","42.42424242424242","14563.621212121212"
"timing","33","14","42.42424242424242","9629.545454545454"
"infusion","42","18","42.857142857142854","2044.7380952380952"
"kefir","42","18","42.857142857142854","5351.452380952381"
"storage","268","115","42.91044776119403","8697.80223880597"
"fermentation","337","145","43.02670623145401","6064.979228486647"
"crust","109","47","43.11926605504588","13447.467889908257"
"recipe-scaling","81","35","43.20987654320987","7537.728395061728"
"gluten-free","120","52","43.333333333333336","4913.15"
"searing","46","20","43.47826086956522","3835.2391304347825"
"thermometer","55","24","43.63636363636363","11797.836363636363"
"food-preservation","467","204","43.683083511777305","9979.86937901499"
"cinnamon","32","14","43.75","11699.125"
"olive","32","14","43.75","13345.4375"
"vinegar","162","71","43.82716049382716","15696"
"gelatin","130","57","43.84615384615385","14598.523076923077"
"peanut-butter","41","18","43.90243902439025","19883.634146341465"
"vegan","189","83","43.91534391534391","5038.687830687831"
"pot","100","44","44","7444.87"
"decorating","59","26","44.06779661016949","12878.389830508475"
"shellfish","34","15","44.11764705882353","26584"
"grains","61","27","44.26229508196721","7217.704918032787"
"baking","2670","1183","44.30711610486892","14499.226217228465"
"beverages","45","20","44.44444444444444","8761.355555555556"
"food-processing","63","28","44.44444444444444","4827.0317460317465"
"leavening","47","21","44.680851063829785","8441.659574468085"
"jam","116","52","44.827586206896555","5755.7844827586205"
"spoilage","116","52","44.827586206896555","15973.094827586207"
"pie","236","106","44.91525423728814","9588.135593220339"
"legumes","31","14","45.16129032258064","7023.645161290323"
"oven","533","243","45.590994371482175","21128.13320825516"
"electric-stoves","70","32","45.714285714285715","11733.814285714287"
"hard-boiled-eggs","50","23","46","36856.52"
"pudding","65","30","46.15384615384615","7848.215384615384"
"soy","78","36","46.15384615384615","8083.461538461538"
"dehydrating","80","37","46.25","4056.5125"
"flatbread","41","19","46.34146341463415","9595.09756097561"
"wok","99","46","46.464646464646464","7756.343434343435"
"temperature","555","258","46.48648648648649","21893.64864864865"
"food-safety","2444","1138","46.56301145662848","25990.87520458265"
"tomatoes","296","138","46.62162162162162","14735.222972972973"
"slow-cooking","282","132","46.808510638297875","19692.748226950356"
"poaching","32","15","46.875","9870.75"
"deep-frying","213","100","46.948356807511736","13513.61971830986"
"chili","66","31","46.96969696969697","20692.969696969696"
"pressure-cooker","151","71","47.019867549668874","6145.940397350993"
"aluminum-cookware","34","16","47.05882352941176","9521.176470588236"
"mixing","104","49","47.11538461538461","10048.951923076924"
"brining","144","68","47.22222222222222","13708.4375"
"containers","36","17","47.22222222222222","10003.611111111111"
"coconut","110","52","47.27272727272727","14609.718181818182"
"bread","1391","659","47.375988497483824","12718.256649892164"
"quickbread","40","19","47.5","8756.2"
"meatballs","40","19","47.5","12340.475"
"moisture","42","20","47.61904761904761","13176.92857142857"
"filling","44","21","47.72727272727273","2346.3636363636365"
"dairy-free","48","23","47.91666666666667","3768.4583333333335"
"pork","273","131","47.985347985347985","16326.641025641025"
"kitchen-safety","135","65","48.148148148148145","13074.614814814815"
"chicken","812","391","48.15270935960591","23324.333743842366"
"almonds","56","27","48.214285714285715","6038.357142857143"
"cheese","487","235","48.25462012320328","16145.2977412731"
"chemistry","201","97","48.258706467661696","6339.44776119403"
"chicken-breast","89","43","48.31460674157304","25898.1797752809"
"syrup","91","44","48.35164835164835","10253.065934065935"
"lime","31","15","48.38709677419355","20221.548387096773"
"raw-meat","97","47","48.45360824742268","37068.051546391755"
"apples","97","47","48.45360824742268","6582.865979381443"
"cream-cheese","33","16","48.484848484848484","12471.333333333334"
"mussels","33","16","48.484848484848484","12755.545454545454"
"salsa","33","16","48.484848484848484","16202.272727272728"
"substitutions","1488","722","48.52150537634409","23331.450940860213"
"restaurant-mimicry","105","51","48.57142857142857","16388.75238095238"
"mousse","35","17","48.57142857142857","5582.114285714286"
"pepper","70","34","48.57142857142857","7677.528571428571"
"beef","428","208","48.598130841121495","20128.969626168226"
"caramelization","72","35","48.61111111111111","4616.361111111111"
"kimchi","37","18","48.64864864864865","15699.918918918918"
"icing","78","38","48.717948717948715","13028.641025641025"
"cream","197","96","48.73096446700508","15825.395939086295"
"heat","121","59","48.760330578512395","9181.504132231405"
"soda","41","20","48.78048780487805","14364.951219512195"
